image_name,image_path,image_size,noise_type,noise_intensities,noisy_psnr,noisy_ssim,Wavelet_psnr,Wavelet_ssim,Wavelet_psnr_norm,Bilateral_psnr,Bilateral_ssim,Bilateral_psnr_norm,DnCNN_psnr,DnCNN_ssim,DnCNN_psnr_norm,Hybrid_V1_psnr,Hybrid_V1_ssim,Hybrid_V1_psnr_norm,Hybrid_V2_psnr,Hybrid_V2_ssim,Hybrid_V2_psnr_norm
FZY00001.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00001.JPG,1024x682,mixed,"[25, 25]",11.23771589153777,0.16376401362589668,14.176105082370285,0.240346204916567,0.2132853155661496,11.689546399650974,0.14873814812885927,0.0,21.653859817049845,0.73394695687774,0.8546919670143331,23.347914328633475,0.7484563084611539,1.0,20.013533342612945,0.5727054779249251,0.7139924725028349
FZY00002.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00002.JPG,1024x682,mixed,"[25, 25]",11.218311600606556,0.05794066024279179,14.210051287726383,0.10195699352389823,0.20046124467762283,11.697655063986597,0.051783792597732185,0.0,21.68697998622737,0.4858413838325219,0.7970369038450614,24.23073210728324,0.6026082760096648,1.0,20.1561109189209,0.3249203811429624,0.6748905975534821
FZY00003.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00003.JPG,1024x682,mixed,"[25, 25]",11.21706601454484,0.05796310371407654,14.29583510316185,0.10397931300849932,0.20652482451290996,11.696143173860579,0.051737903450072564,0.0,21.73185368373757,0.4865429799049838,0.7972572936639376,24.283937088866484,0.6017246167595202,1.0,20.204887732995513,0.32606298082846363,0.6759520068875343
FZY00004.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00004.JPG,1024x682,mixed,"[25, 25]",11.212151715773972,0.059217191670203645,14.185285566362937,0.1032298687573487,0.19875003260235682,11.690290239085659,0.052653102413748674,0.0,21.690402714156924,0.49079959841230797,0.7966037686397511,24.243723788800168,0.6050400294146463,1.0,20.157826522641923,0.3287532828428562,0.674519544794088
FZY00005.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00005.JPG,1024x682,mixed,"[25, 25]",11.363593942524313,0.12737928381579497,14.303183295309925,0.19126693218197124,0.21800643916236276,11.829990732750852,0.10906646285522709,0.0,21.23065752649947,0.6490528415080895,0.8286479283830742,23.174575654470225,0.6950587015565184,1.0,19.854732812847516,0.4920808985093477,0.7073632165010444
FZY00006.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00006.JPG,1024x682,mixed,"[25, 25]",11.312284653257603,0.05785216790874098,14.347378247574916,0.10022282535652122,0.1849452054699463,11.779409488091604,0.05347079284028928,0.0,22.251863634512766,0.480197518455371,0.7542265367255295,25.664434260472678,0.6393499572349607,1.0,20.620704179963568,0.3192202834452019,0.6367503722037519
FZY00007.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00007.JPG,1024x682,mixed,"[25, 25]",11.291931808998827,0.058302210110784854,14.283917337504038,0.10107945988886352,0.18122233586769662,11.755071208825614,0.05378121996194932,0.0,22.287118366664465,0.4855563485768146,0.7547482489216334,25.709455565313746,0.6470696342115583,1.0,20.627759119527408,0.323293476029308,0.6358351385510183
FZY00008.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00008.JPG,1024x682,mixed,"[25, 25]",11.191016390788512,0.04155176622626818,14.122524576826436,0.07570092405755433,0.17425486462815304,11.648624678532185,0.03975604454237244,0.0,22.27935181316804,0.4243575649599047,0.7487998681846704,25.845645252812105,0.6088497968711605,1.0,20.60245618944913,0.26579391400280783,0.6306838441255894
FZY00009.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00009.JPG,1024x682,mixed,"[25, 25]",11.218212767977738,0.043002331994699876,14.33310035600817,0.08059380697272797,0.18645415346940003,11.675043874006558,0.040598289481479415,0.0,22.328619268428813,0.4307256443259724,0.7473142106045835,25.93086189973823,0.6142509111278917,1.0,20.663772099860786,0.27256602707909,0.6305305110958644
FZY00010.JPG,/Users/fang50253/Desktop/Files/Documents/Pics/FZY00010.JPG,1024x682,mixed,"[25, 25]",11.233294737680946,0.045472582053569834,14.209980091803827,0.08200933710272641,0.17752379259331,11.698017014676342,0.04256948926943902,0.0,22.29141946520446,0.43565438830620234,0.7486499290568888,25.84802496815755,0.6067277749936364,1.0,20.61714905955677,0.27785756523538574,0.6303269986986918
