epoch,train_loss,train_recon,train_edge,val_loss,val_recon,val_edge
1,0.15484251423842377,0.047855307128694326,0.12439461801615026,0.13038299456238747,0.03554214369505644,0.11482721231877804
2,0.12284501045942306,0.033309550788253546,0.11207680342098077,0.11958376370370388,0.03199234683066607,0.11207715697586536
3,0.11695175954865085,0.03137749632820487,0.11036803235610326,0.1166358870267868,0.030997292287647724,0.11106437899172306
4,0.11469868744413057,0.0306796079977519,0.109124439921644,0.11516887962818145,0.030681391917169093,0.11007672131061554
5,0.11351275863746801,0.030385882577134503,0.10822813817196422,0.11425463862717151,0.03050781289115548,0.1091663970798254
6,0.11274972135821978,0.030224828132324747,0.10748125495182144,0.11328701063990593,0.030305242091417314,0.10840842612087727
7,0.11220282327797677,0.03014733625989821,0.10685638695127435,0.11292297415435314,0.030254077706485985,0.10781367965042592
8,0.1118387886385123,0.030091057730217776,0.10642610879407989,0.11282227843999863,0.030237295683473348,0.10757768675684928
9,0.11136867216891713,0.03001110797127088,0.10587699429856406,0.11196355864405633,0.03022438017651439,0.1063970935344696
10,0.11112745982077386,0.029985730937785574,0.10553952928218577,0.11246628299355507,0.03048734776675701,0.10670842312276363
11,0.11075035287274254,0.02992817165537013,0.10509505146907436,0.11134092830121517,0.029940108582377434,0.10612377546727657
12,0.11046712172528107,0.029892458536972602,0.10473976161744859,0.11159868948161603,0.03009946137666702,0.10623938038945198
13,0.1103096771819724,0.02986531815595097,0.10452407892379496,0.11105981625616551,0.029983317218720912,0.1055405156314373
14,0.1101421472347445,0.02985362125767602,0.10430972523159451,0.11132464990019798,0.030302078686654566,0.10544712178409099
15,0.10999303629828824,0.029824599085582628,0.10408939934439129,0.11136278256773949,0.030058318711817265,0.10591373421251774
16,0.10973516151309014,0.02978435268211696,0.10378604336745209,0.11124003656208516,0.030169438701123,0.10535243645310402
17,0.10969316811197334,0.029801098867836925,0.10370166678395536,0.11079855144023895,0.02996052708476782,0.10491163723170757
18,0.10958383262985283,0.02978107276269131,0.10358048574792014,0.11067251808941364,0.030042454339563845,0.10478610157966614
19,0.10948033587800132,0.029753164001223114,0.10340868923399184,0.11070050865411758,0.0299854501709342,0.10486256912350654
20,0.1093924245900578,0.02974839419333471,0.10329730826119582,0.11079005181789398,0.030166075602173804,0.1046599455177784
21,0.10914804799689187,0.02969866117876437,0.10304806331793467,0.11018412940204143,0.029832825679332018,0.10447309702634812
22,0.10929498296644953,0.029735184316005973,0.10315976820058292,0.11031884588301182,0.029863372575491667,0.10442734517157078
23,0.10925510754187902,0.02972336257290509,0.10305943304465877,0.11057182379066945,0.03006466053426266,0.10450111776590347
24,0.10910093819929494,0.02970992154545254,0.10289008975028992,0.11047042556107044,0.02996061395853758,0.10448216915130615
25,0.10908915494051244,0.029699233188811274,0.10288605074087778,0.11001840993762016,0.029929407760500907,0.10383433490991592
26,0.1089865156263113,0.029686673612644276,0.10274670365783903,0.11031940788030624,0.030044976957142353,0.1041029705107212
27,0.10896394787563218,0.029677766259345744,0.10270110992093881,0.10986735537648201,0.029716657549142836,0.10408019803464413
28,0.10881137740280893,0.02966074900287721,0.10253905430436135,0.11033433325588703,0.030113660860806704,0.10415773086249829
29,0.10885983718766107,0.02966914554643962,0.1025618708299266,0.11002253726124764,0.03002803713083267,0.10367787845432758
30,0.10877937037083837,0.029652554674281014,0.10249749307831128,0.1098326776176691,0.029915285147726536,0.10358161449432374
31,0.10865741843978564,0.02962502693136533,0.10233882106840611,0.10989397093653679,0.029925598204135893,0.1036443380266428
32,0.10873797814879152,0.029641710619131723,0.10241391461756494,0.10997488737106323,0.029804895985871552,0.10400855652987957
33,0.10860051576462057,0.02961171953835421,0.10227758320669333,0.11005666062235832,0.029923611395061014,0.10387568607926369
34,0.10866891999211577,0.029624514886074597,0.10231349834965335,0.11021348603069782,0.029881617184728385,0.10421712942421436
35,0.10862069171335963,0.029625725332233642,0.10226968077321848,0.10934574589133263,0.02968237379565835,0.10326529614627361
36,0.108489175538222,0.029599473619212707,0.10212942466139793,0.10998346298933029,0.02989265665411949,0.10380283482372761
37,0.10846025207804309,0.029592536869976257,0.1020925940738784,0.10969390034675598,0.029854759145528077,0.10350660085678101
38,0.1083897795362605,0.029572486533886857,0.10199440573652585,0.10937321208417415,0.02962412912398577,0.10343800537288189
39,0.10845493733882904,0.029589719573656716,0.1020488611691528,0.10945917770266533,0.029715679343789814,0.103410155326128
40,0.10833522690667047,0.02956636240084966,0.10194293532934454,0.10994447097182274,0.029901834558695554,0.1038447417318821
41,0.1083433717654811,0.029552872305115063,0.10193639336360825,0.10941923573613167,0.029779684245586396,0.10309375569224358
42,0.1081318042261733,0.029496976991908418,0.10173823403815428,0.10952741593122482,0.02973008280619979,0.10336925461888313
43,0.10822702166106966,0.02952046320049299,0.10179948937561777,0.10931510664522648,0.029753825236111878,0.10300594881176948
44,0.10813284434378147,0.029501030060152214,0.10173793614738517,0.10978082075715065,0.029810564965009688,0.10351897336542606
45,0.10818315767579609,0.029506859622067876,0.10178219372199641,0.10949038811028004,0.02971841199323535,0.10316087663173676
46,0.10805368089841472,0.029480420713209443,0.10162081788811418,0.10906867012381553,0.029639723245054483,0.1028376791626215
47,0.108121465800537,0.029499681587848398,0.10171749153898822,0.10944036483764648,0.02974234638735652,0.10307290382683278
48,0.10811663393345144,0.029506547982907957,0.10167246306108103,0.10930390357971191,0.029675722233951093,0.10308561399579048
49,0.10819376403258907,0.02951301399204466,0.10173665935794513,0.10920082651078701,0.02964516680687666,0.10315013222396374
50,0.10816728113426102,0.02951517088131772,0.1017231258832746,0.1092670015990734,0.02964223263785243,0.10320072337985038
51,0.10817397523257467,0.029529071158419053,0.10172844183941682,0.10918341107666492,0.029642577916383743,0.10305600933730602
52,0.1080972535825438,0.029508441668003798,0.10166465517547396,0.10931280583143234,0.02973722752183676,0.10294792339205742
53,0.10800715057386293,0.0294798704298834,0.10154928257067998,0.1096008088439703,0.029778197091072798,0.10322367496788502
54,0.10806047057112057,0.02948723164283567,0.10161167797942956,0.10948710158467292,0.029718391504138707,0.10325021639466286
55,0.10799011453986168,0.029471913950724734,0.10151143829027812,0.10930098280310631,0.02964474882930517,0.10306338891386986
56,0.1079685662769609,0.029459048356446953,0.10149192097286383,0.10950925804674626,0.0297515582293272,0.10318657100200652
57,0.10789646047684881,0.029457571545822753,0.10142883698973391,0.109397784024477,0.029867861587554216,0.10283732928335666
58,0.10798931412398816,0.029464972553153834,0.10152353565726015,0.10912848897278309,0.02959382200613618,0.10299103781580925
59,0.10792645696136687,0.029444578387257125,0.10145011800030868,0.1093106720596552,0.029697021394968035,0.10297122016549111
60,0.10793661312096649,0.029447898746778566,0.10144657319618595,0.10951130017638207,0.029777807630598545,0.10315604574978351
61,0.10799496012429396,0.02947225023061037,0.10151685989565319,0.1093150395900011,0.029671745486557485,0.10306099593639374
